;ESN RRMSE;MLP RRMSE;RF RRMSE;XGBoost RRMSE;WSB-GLOBAL RRMSE;ESN MAPE;MLP MAPE;RF MAPE;XGBoost MAPE;WSB-GLOBAL MAPE
ASSIS CHATEAUBRIAND;0.383;0.507;0.385;0.343;0.383;0.369;0.697;0.496;0.438;0.369
ASTORGA;0.246;0.247;0.211;0.195;0.197;0.212;0.233;0.181;0.152;0.17
BARRACÃO;0.174;0.139;0.21;0.192;0.154;0.129;0.121;0.185;0.169;0.128
CAMPO LARGO;0.268;0.405;0.294;0.317;0.292;0.296;0.491;0.333;0.343;0.333
CAPANEMA;0.353;0.539;0.41;0.43;0.353;0.352;0.676;0.461;0.497;0.352
CASCAVEL;0.261;0.333;0.261;0.275;0.26;0.245;0.371;0.297;0.295;0.281
CORONEL VIVIDA;0.279;0.336;0.299;0.269;0.267;0.247;0.391;0.26;0.239;0.247
CURITIBA;0.259;0.395;0.299;0.32;0.263;0.227;0.413;0.305;0.25;0.234
FOZ DO IGUAÇU;0.404;0.691;0.44;0.409;0.41;0.415;0.805;0.423;0.36;0.404
GOIOERÊ;0.267;0.357;0.285;0.27;0.269;0.25;0.424;0.308;0.278;0.26
IRATI;0.257;0.246;0.23;0.244;0.234;0.213;0.262;0.204;0.195;0.19
IVAIPORÃ;0.254;0.301;0.206;0.162;0.233;0.191;0.3;0.193;0.142;0.182
JACAREZINHO;0.296;0.354;0.305;0.302;0.292;0.303;0.419;0.328;0.317;0.314
JAGUARIAÍVA;0.246;0.21;0.234;0.196;0.205;0.191;0.198;0.175;0.171;0.163
LONDRINA - CENTRO;0.207;0.359;0.269;0.273;0.205;0.17;0.388;0.274;0.231;0.178
PALMAS;0.235;0.345;0.275;0.262;0.252;0.206;0.36;0.235;0.244;0.228
PARANAGUÁ;0.21;0.23;0.201;0.173;0.209;0.168;0.215;0.179;0.167;0.168
PARANAVAÍ;0.366;0.497;0.375;0.424;0.366;0.382;0.623;0.419;0.473;0.382
PINHAIS;0.185;0.317;0.209;0.22;0.197;0.166;0.304;0.197;0.199;0.188
PITANGA;0.221;0.231;0.216;0.188;0.189;0.182;0.225;0.199;0.156;0.163
QUEDAS DO IGUAÇU;0.245;0.313;0.246;0.211;0.235;0.201;0.302;0.194;0.169;0.199
TELÊMACO BORBA;0.238;0.252;0.215;0.211;0.208;0.202;0.27;0.203;0.199;0.19
UMUARAMA;0.312;0.358;0.311;0.299;0.291;0.296;0.489;0.364;0.324;0.308
UNIÃO DA VITÓRIA;0.259;0.235;0.273;0.244;0.24;0.187;0.209;0.214;0.199;0.174
MÉDIAS;0.2677083333333333;0.34154166666666663;0.2774583333333333;0.26787500000000003;0.2585;0.2416666666666667;0.38275;0.276125;0.25862499999999994;0.24187499999999998
MELHOR;8;2;1;7;8;12;1;0;7;7
PIOR;2;20;2;0;0;0;22;2;0;0
SCORE (MELHOR - PIOR);6;-18;-1;7;8;12;-21;-2;7;7
